1,Chocolate,Crema helada sabor chocolate.
2,Avellana,Crema helada sabor vainilla y avellana.
3,Crema Cookie,Crema helada sabor vainilla con cookies de chocolate.
4,Durazno,Helado de agua sabor durazno
5,BananaSplit,Crema helada sabor vainilla y banana.
6,Arandanos,Crema helada sabor arandanos con pulpa.
7,Americana,Crema helada sabor vainilla.
8,Dulce de leche,Crema helada sabor dulce de leche.
9,Granizado,Crema helada sabor vainilla con trozos de chocolate.
10,Chocolate blanco,Crema helada sabor chocolate blacon con trozos de chocolate.
